Description des UE;Unnamed: 1
X31A060;Anglais pour la communication scientifique (info)
Lieu d’enseignement;UFR Sciences
Niveau;Licence
Semestre;5
Responsable de l’UE;BOURDON JEREMIE
Volume horaire total;TOTAL : 17.6h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 1.6h
Place de l’enseignement;
UE pré-requise(s);Anglais 3 et 4, ou équivalent.
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Anglais pour la communication scientifique (info) 100%
Obtention de l’UE;"The module will be assessed through continuous assessment (100%). You will be assessed indirectly
on everything you do in class, and directly on
• an in-class test
• your project work"
Programme;
Objectifs (résultats d'apprentissage);"À l’issue de cet enseignement, l’étudiant-e sera capable de :
1. répondre à des questions de compréhension sur un texte rédigé en anglais universitaire, que ce soit dans son domaine de spécialité ou dans un autre domaine, dans un esprit similaire à ce qui est proposé à l’épreuve de compréhension écrite de la certification IELTS Academic English.
2. présenter à l’oral un texte issu de la presse scientifique générale dans son domaine de spécialité, replacer l’article dans son contexte et expliquer les enjeux de la recherche ou de la thématique abordée dans cet article.
3. présenter son travail dans un anglais clair et phonologiquement approprié, en utilisant des outils de présentation adaptés et en communiquant avec un degré d’aisance et de spontanéité qui rende possible une interaction normale avec un locuteur natif, sans recours excessif aux notes."
Contenu;"1. Développement du vocabulaire scientifique général
2. Développement du vocabulaire scientifique de spécialité
3. Analyse de textes scientifiques
4. Développement de la capacité à adapter son discours à différentes situations de communication scientifique
4. Analyse de documents audio ou vidéo
5. Pratique de l’oral en contexte
6. Sensibilisation au système phonologique de l’anglais pour améliorer la prise de parole des étudiant-e-s"
Méthodes d’enseignement;Mixte
Langue d’enseignement;Anglais
Bibliographie;Aucun ouvrage obligatoire.
;
X31M060;Systèmes dynamiques
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;WANG XUE-PING
Volume horaire total;TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM
Programme;
Objectifs (résultats d'apprentissage);"Au terme de cette unité d'enseignement, l'étudiant devra :
- appliquer le théorème de Cauchy-Lipschitz et en déduire des propriétés de la solution maximale
- résoudre tout système différentiel linéaire homogène 2 x2 avec allure de la trajectoire et comportement en temps grand ; établir lien avec les équations différentielles linéaires scalaires d’ordre 2.
- déterminer la nature d’un équilibre (stable asymptotiquement stable) pour un système différentiel autonome."
Contenu;"Généralités sur les équations différentielles : problème de Cauchy ; théorème de Cauchy-Lipschitz (admis) ; lemme de Gronwall ; cas où la solution maximale est globale
Partie I : systèmes différentiels linéaires
Résolution pour tous les systèmes 2x2 homogènes à coefficients constants Partie II : systèmes différentiels autonomes
A. système linéarisé au voisinage d’un équilibre
B. Théorème de Lyapounov : définition ; cas d’un flot de gradient ; cas d’un système hamiltonien
C. exemples classiques : modèle prédateurs/proies ; pendule."
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;"Mathématiques des modèles économiques, Pascale Dameron, Economica Maths en pratique à l'usage des étudiants, François Liret, Dunod Systèmes dynamiques, Jean Louis Pac, Dunod
Stabilité et commande des systèmes dynamiques, Frédéric Jean, Presses de l'ÉNSTA"
;
X31M070;Probabilités numériques
Lieu d’enseignement;Faculté des Sciences et Techniques
Niveau;Licence
Semestre;5
Responsable de l’UE;PIRIOU LAURENT
Volume horaire total;TOTAL : 44h Répartition : CM : 16h TD : 24h CI : 0h TP : 0h EAD : 4h
Place de l’enseignement;
UE pré-requise(s);Intégration 1, Séries numériques et probabilités discrètes, Probabilités appliquées et statistiques
Parcours d’études comprenant l’UE;L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM
Evaluation;
Pondération pour chaque matière;Probabilités numériques 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);"Au terme de cette unité d'enseignement l'étudiant devra, en matière de variables aléatoires discrètes et continues, de vecteurs Gaussiens et de convergences :
•
être capable de calculer la loi, l'espérance et la variances d'une variables aléatoires discrète, potentiellement construite à l'aide d'une famille de variables aléatoires i.i.d. de loi classique.
•
Calculer à l'aide de la méthode de la fonction muette,
ou bien de la fonction de répartition la loi d'une variable aléatoire absolument continue.
•
Utiliser la densité d'une variable aléatoire absolument continue pour calculer la probabilité d'un événement impliquant cette variable aléatoire.
•
Appliquer la loi forte/faible des grands nombres
pour prouver une convergence presque sure/en probabilité
•
Appliquer le TCL pour prouver une convergence en loi.
•
Mettre en œuvre le Lemme de Slutsky pour obtenir, le cas échéant, la convergence en loi d'une suite de variables aléatoires construites en appliquant une fonction continue à une suite de couples de variables aléatoires dont la première coordonnée converge en loi et la seconde en probabilité vers une constante.
•
A l'aide de la Delta-méthode, prouver, le cas échéant, un TCL pour une suite de variables aléatoires obtenues en appliquant une fonction à une autre suite de variables aléatoires."
Contenu;"Variables aléatoires discrètes :
•
Rappels concernant les lois classiques : uniforme, de Bernoulli, Binomiales, de Poisson, géométriques et sur les calculs d'espérances et de variances.
•
Couples de variables aléatoires discrètes, indépendance.
Variables aléatoires absolument continues :
•
Fonction de répartition et densité.
•
Lois classiques : uniforme, exponentielle, Gaussienne,
de Cauchy, Gamma (cas particulier de la loi du chi-deux).
•
Calculs d'espérance et de variance. Théorème de transfert.
•
Méthode de la fonction muette.
•
Couple de variables aléatoires à densité, indépendance. Convergences de variables aléatoires :
•
Convergence presque sure, en probabilité et en loi : définitions et implications.
•
Loi forte des grands nombres : énoncé et applications.
•
Théorème centrale limite : énoncé et applications.
•
Lemme de Slutsky et Delta-méthode."
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
X31I010;Etude des algorithmes
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;5
Responsable de l’UE;RAMPON JEAN-XAVIER
Volume horaire total;TOTAL : 46.2h Répartition : CM : 18h TD : 24h CI : 0h TP : 0h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);Informatique fondamentale 1 (X21I010) Logique pour l'informatique (X22I010)
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Etude des algorithmes 100%
