Description des UE;Unnamed: 1
XLG5IU010;Introduction à l'architecture des ordinateurs
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;FERTIN GUILLAUME GOUALARD FREDERIC
Volume horaire total;TOTAL : 28h Répartition : CM : 10h TD : 10h CI : 0h TP : 8h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : MIAGE - CLASSIQUE
Evaluation;
Pondération pour chaque matière;Introduction à l'architecture des ordinateurs 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;"Le module se déclinera en 4 grandes parties:
• Représentation de l'information
• Logique et Circuits combinatoires
• Circuits séquentiels
• Assembleur MIPS"
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
XLG5IU020;Ingénierie des exigences
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;JEAN GERALDINE
Volume horaire total;TOTAL : 44h Répartition : CM : 13.33h TD : 22.67h CI : 0h TP : 8h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : MIAGE - CLASSIQUE
Evaluation;
Pondération pour chaque matière;Ingénierie des exigences 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
XLG5IU030;Comptabilité financière
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;SUAUDEAU CHRISTOPHE
Volume horaire total;TOTAL : 56h Répartition : CM : 0h TD : 56h CI : 0h TP : 0h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : MIAGE - CLASSIQUE
Evaluation;
Pondération pour chaque matière;Comptabilité financière 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
XLG5IU040;Optimisation & Automates finis
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;FERTIN GUILLAUME
Volume horaire total;TOTAL : 28h Répartition : CM : 8h TD : 16h CI : 0h TP : 4h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : MIAGE - CLASSIQUE
Evaluation;
Pondération pour chaque matière;Optimisation & Automates finis 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;"Ce cours comporte deux parties, l'une sur sur les automates finis et l'autre sur l'optimisation.
• La partie sur les automates finis porte sur les langages rationnels que l'on manipulent ou modélisent avec les expressions rationnelles et les automates finis.
• La partie sur l'optimisation présentera plusieurs types de modélisation et de résolution de problèmes liés à la gestion (des ressources, des coûts et profits, des tâches, etc.).   Elle contiendra deux grandes parties: l'une concerne la programmation linéaire, l'autre l'ordonnancement."
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
XLG5IU050;Structures Linéaires
Lieu d’enseignement;
Niveau;Licence
Semestre;5
Responsable de l’UE;MONCEAUX-CACHARD LAURA
Volume horaire total;TOTAL : 44h Répartition : CM : 0h TD : 32h CI : 0h TP : 12h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : MIAGE - CLASSIQUE
Evaluation;
Pondération pour chaque matière;Structures Linéaires 100%
Obtention de l’UE;
Programme;
