code_UE;label;objectifs;contenu;volume_horaire;ects;semestre;niveau
XLG1IU010;Informatique;;;80;;1;Licence
XLG1MU040;Mathématiques générales pour l'informatique 1;"• Consolider l’usage des outils mathématiques fondamen-
• Identifier des méthodes mathématiques pour la résolution de problèmes en in- formatique
• Développer une approche informatique pour analyser un problème mathématique";"Développer les connaissances en mathématiques, en proposant des applications des notions mathématiques à l’informatique, ou des situations où l’informatique s’applique à résolution de problèmes mathématiques.
• Logique, ensembles, algèbre de Boole, dénombrement.
• Arithmétique : divisibilité, numération, primalité, congruences, Z/nZ, Théorèmes de Gauss et de Bézout, Petit Théorème de Fermat — Applications au codage
et à la cryptographie.
• Arithmétique des polynômes.
• Algèbre linéaire : matrices, systèmes linéaires — Application : puissances de matrices pour les graphes et les automates, optimisation linéaire.
• Analyse : fonctions d’une variable réelle, fonctions usuelles (fonctions trigonométriques, fonction exponentielle, fonction logarithmique), continuité, dérivabilité, primitives — Application : résolution approchée d’équations.
• Interpolation, méthodes d’intégration numérique.
• Suites, limites et comportements asymptotiques des suites — Application pos- sible : complexité asymptotique des algorithmes.";80;1;1;Licence
XLG1PU020;Electricité et outils mathématiques associés;"A l’issue   de cet enseignement, l’étudiant   :
● exploitera, dans le cadre d’un exercice, la loi d’Ohm, la loi des nœuds et la loi des mailles pour déterminer les tensions et les intensités   dans les différentes branches d’un circuit électrique.
●   saura utiliser, dans le cadre d’un exercice,   les lois de fonctionnement et les caractéristiques des dipôles de base (générateur, récepteur, résistance).
● saura déterminer la résistance équivalente d'un groupement de résistances en série et/ou en parallèle
● saura déterminer le générateur de Thévenin équivalent à plusieurs générateurs de Thévenin en série
● saura déterminer le générateur de Norton équivalent à plusieurs générateurs de Norton en parallèle
● connaîtra les représentations et les transformations Thévenin – Norton
● reconnaîtra la topologie des circuits diviseurs de tension ou de courant
● saura donner sans calcul la tension aux bornes d'une résistance d'un diviseur de tension ou le courant traversant une résistance d'un diviseur de courant
● appliquera le principe de conservation de l’énergie pour effectuer un bilan énergétique dans un circuit électrique   mettant en jeu différentes formes d’énergie (énergie électrique, énergie chimique, énergie mécanique).
● saura déterminer les caractéristiques d'un signal sinusoïdal à partir de son expression mathématique   : amplitude, valeur efficace, période, fréquence, pulsation, phase à l'origine
● saura déterminer les caractéristiques d'un signal sinusoïdal à partir de son oscillogramme
● saura déterminer les déphasages entre deux signaux synchrones à partir de leurs expressions mathématiques ou à partir de leurs oscillogrammes
● saura déterminer l'impédance complexe équivalente d'un groupement d'impédances en série et/ou en parallèle
● saura déterminer par la méthode des nombres complexes les tensions et les courants dans un circuit en régime sinusoïdal
● saura effectuer un calcul de puissance active par une méthode directe ou à partir du théorème de Boucherot
● saura expliquer le phénomène de résonance dans un circuit RLC
● saura déterminer à partir d'une courbe de résonance, les fréquences de coupure et la bande passante du circuit
● saura expliquer le phénomène de surtension aux bornes d'un condensateur";"Le contenu de cet enseignement est le suivant :
Chapitre 1 : Généralités et notions de base en électricité
1. Notions de tension et de courant
2. Différents régimes
électriques                                                                                                                                                                3. Eléments
d’un circuit électrique et définitions
4. Lois de Kirchhoff
5. Convention générateur et convention récepteur
6. Puissance - Energie
7. Appareils de mesure de courants et de tensions
Chapitre 2 : Dipôles et circuits linéaires
1. Les différents dipôles
2. Les conducteurs ohmiques ou résistances
3. Les générateurs
4. Les récepteurs
5. Méthodes de résolution de circuits électriques
Chapitre 3 : Le régime sinusoïdal
1. Caractéristiques d’un signal sinusoïdal
2. Signaux et oscilloscope
3. Représentation complexe
4. Impédances complexes et loi d’Ohm en complexe
5. Résolution des circuits en régime sinusoïdal
6. Puissance en régime sinusoïdal
7. Etude des phénomènes de résonance";40;;1;Licence
XLG1PU030;Base de logique numérique;"Au terme de cette UE, l’étudiant est capable de concevoir le schéma du circuit  électronique permettant de réaliser une fonction logique combinatoire. Pour cela, il est en mesure de :
- Déterminer le nombre d’entrées et sorties nécessaires à la conception d’un circuit permettant la réalisation d’une fonction logique combinatoire désirée
- écrire la table de vérité d’une sortie d’un circuit par analyse de la fonction logique combinatoire désirée
- déterminer l’expression booléenne d’une sortie d’un circuit à partir de sa table de vérité
- simplifier au maximum une expression booléenne en utilisant l’algèbre de Boole
- simplifier au maximum une expression booléenne en utilisant la méthode de Karnaugh
- dessiner un circuit à base de portes logiques élémentaires à partir des fonctions booléennes des sorties du circuit
- redessiner un circuit composé de portes logiques élémentaires en n’utilisant qu’un seul type de porte logique (opérateur complet, porte synonyme)
- faire une simulation d’un circuit avec le logiciel Quartus Prime
- implanter un circuit dans une carte électronique à partir du logiciel Quartus Prime";"Programme:
I. Introduction
II. Algèbre de Boole
• Opérateurs élémentaires
• Réalisation des opérateurs élémentaires avec des composants électroniques de base
• Règles de priorités
• Théorèmes fondamentaux
• Réduction d’une fonction logique
• Opérateurs complets
• Opérateurs exclusifs
III. Tables de vérité et chronogrammes
• Tables de vérité et chronogrammes des opérateurs élémentaires, complets et exclusifs
• Détermination de la table de vérité d’une fonction logique à partir de son expression booléenne
• Identité de fonctions logiques par analyse de leur table de vérité
• Détermination de l’expression booléenne d’une fonction logique à partir de sa table de vérité
• Tables de Karnaugh
IV. Portes et circuits logiques
• Détermination d’un circuit associé à une fonction logique à partir de son expression booléenne
• Détermination de l’expression booléenne d’une fonction logique à partir de son circuit
V. Codage des nombres
• Codage des nombres décimaux/binaires
• Généralisation du codage dans une base b
• Codages octal et hexadécimal
VI. Applications de logique numérique combinatoire
• Multiplexeur et démultiplexeur
• Problèmes de logique combinatoire";20;;1;Licence
XLG1AU050;1st year English S1;;;16;0;1;Licence
XLG1AE051;1st year English: Lower Intermediate S1;;;0;;;
XLG1AE052;1st year English: intermediate S1;;;0;;;
XLG1AE053;1st year English: Upper Intermediate S1;;;0;;;
XLG1AE054;1st year English S1;;;16;;;
XLG1TU060;Méthodologie et insertion professionnelle S1;"A l'issu du cours, l'étudiant sera capable :
- de développer et utiliser des méthodes d'apprentissage : techniques de prises de notes et de mémorisation, de gestion du temps et du stress
- d'utiliser des outils numériques de communication de l'université : messagerie, enseignement en distanciel, portfolio
- d'utiliser les outils de la bibliothèque universitaire et d'en comprendre les apports et le fonctionnement
- de comprendre le fonctionnement cérébral et les types de mémoire pour les exploiter au mieux
- de collaborer dans le cadre d'un projet simple en communiquant avec ses collaborateurs";"Les différentes séances se déroulent comme suit sur les deux semestres : Sur le premier semestre :
-   3CM sur le fonctionnement cérébral et la mérmoire
- 6 TD :
- outils numériques
- prise et reprise de notes
- attention focalisée
- la gestion du temps et du stress
- le travail de groupe et le travail en équipe
- serious game à la BU
sur le second semestre :
- identifier ses préférences de fonctionnement avec ses compétences et points de vigilance
- réaliser un CV complet et identifier les éléments constitutifs indispensables";12;;1;Licence
XLG1TU050;Stage libre;;;0;;1;Licence
XLG2IU010;Algorithmique et developpement;;;80;50;2;Licence
XLG2IE011;Algorithmique;;;40;;;
XLG2IE012;Developpement logiciel;;;40;;;
XLG2IU020;Bases de donnees 1;;;40;1;2;Licence
XLG2IU030;Fonctionnement des ordinateurs;;;40;;2;Licence
XLG2IU040;Bases theoriques de l'informatique;;;40;;2;Licence
