code_UE;label;objectifs;contenu;volume_horaire;ects;semestre;niveau
XLG3MU030;Analyse et Algebre lineaire 2;"Au terme de cette unité d'enseignement, l'étudiant(e) devra :
en matière de réduction des endomorphismes :
•
Déterminer les propriétés caractéristiques d'un projecteur ou d'une symétrie
•
Appliquer les critères de diagonalisation pour un endomorphisme (ou une matrice) et effectuer, le cas échéant, sa diagonalisation en utilisant les concepts suivants : valeurs propres, vecteurs propres, changement de base
•
Savoir faire une réduction de Gauss d’une forme quadratique et préciser ses caractéristiques (rang, signature)
•
Diagonaliser un endomorphisme symétrique (ou une matrice symétrique) en une base orthonormée.
en matière de fonctions de deux ou trois variables à valeurs réelles :
•
Savoir déterminer le domaine de définition d’une fonction de plusieurs variables et préciser sa nature (ouvert, fermé, compact)
•
Savoir calculer des dérivées partielles de fonctions de plusieurs variables.
•
Déterminer les minima et les maxima locaux d’une fonction de plusieurs variables à valeurs réelles à l’aide des outils de calcul différentiel.";"Réduction des endomorphismes et formes quadratiques :
•
Compléments sur les sous-espaces vectoriels et endomorphismes (notion de somme directe, projections et symétries).
•
Rappels sur les déterminants. Polynôme caractéristique d’un endomorphisme, valeurs propres et vecteurs propres.
•
Endomorphismes et matrices diagonalisables : définition et théorèmes de diagonalisation.
•
Introduction aux formes quadratiques, réduction de Gauss.
•
Produit scalaire, base orthonormée, matrice orthogonale.
•
Diagonalisation des endomorphismes symétriques et des matrices symétriques. Application aux formes quadratiques.
Fonctions de deux ou trois variables à valeurs réelles :
•
Fonctions de deux ou trois variables : domaine de définition et exemples.
•
Notions d’ouvert, fermé et compact.
•
Fonctions continues et théorème des bornes atteintes.
•
Dérivées partielles, différentielle et fonctions de classe C1.
•
Formule de Taylor-Young à l'ordre 1, plan tangent à une surface d'équation   z = f(x,y) .
•
Fonctions de classe C2, lemme de Schwarz, matrice Hessienne, formule de Taylor-Young à l'ordre 2. Application de la diagonalisation des matrices symétriques à la recherche des extrema locaux d’une fonction.
•
Théorème des fonctions implicites et application au théorème des extremas liés.";80;2;3;Licence
XLG3IU010;Algorithmique et Structures de données 1;"A l’issue de cette UE, l’étudiant saura :
•
Comprendre l'importance d'une algorithmique efficace
•
Calculer le coût d’exécution en temps et en mémoire d’un algorithme (Analyse) et mesurer le coût d’exécution du programme correspondant (Application)
•
Utiliser les notations d'ordre de grandeur de complexité algorithmique (Analyse)
•
Identifier un meilleur cas et un pire cas de complexité d'un algorithme (Analyse)
•
Évaluer une implémentation de structure de données en temps et en place mémoire (coûts minimal, maximal, amorti)
•
Choisir les propriétés à vérifier pour prouver un algorithme et établir sa complexité temporelle (Analyse)
•
Concevoir des algorithmes récursifs
•
Concevoir des algorithmes utilisant le principe algorithmique « Diviser pour régner ».";"Ce module d'algorithmique a pour objectif d'introduire les notions de de complexité et de correction pour des algorithmes itératifs ou récursifs. La notion de récursivité est abordée et mise en pratique dans l’approche de résolution de problèmes « Diviser pour régner ».
Ces notions sont abordées dans le cadre des structures de données vues précédemment.";40;1;3;Licence
XLG3IU020;Logique pour l'informatique;"1. Appliquer les lois de De Morgan à des expressions booléennes pour les transformer en formes normales conjonctives ou disjonctives.
2. Manipuler des quantificateurs et transformer des expressions en formes clausales et de Skolem.
3. Distinguer la logique classique de la logique intuitionniste et comprendre les notions de consistance et complétude d'un système de preuves.
4. Représenter une preuve de la déduction naturelle sous forme d'arbre d'inférence.
5. Utiliser les algorithmes d'unification et de résolution pour le raisonnement automatique sur les formules logiques.";"1) Raisonnement algébrique booléen
• Dualités des connecteurs logiques
•   Formes normales conjonctive et disjonctive
2) Systèmes de preuves
•   Système d'inférence associé à une définition inductive
• Preuve d'appartenance à un ensemble inductif par un arbre de preuves
• Règles d'inférences de la déduction naturelle pour la logique propositionnelle
• Distinguer logique classique et logique intuitionniste
3) Donner du sens aux langages logique
• Interprétation, modèle, satisfiabilité, validité
• Correspondance avec le système de preuve: correction et complétude
4) Calcul des prédicats
• Manipulation des quantificateurs
• Skolémisation, forme clausale
• Théorie logique
5) Raisonner automatiquement sur les formules logique
• Algorithme d'unification
• Algorithme de résolution";40;;3;Licence
XLG3MU040;Probabilites discretes;"Au terme de cette unité d'enseignement, l'étudiant(e) devra :
•
Savoir utiliser l’éventail des techniques d'analyse combinatoire pour effectuer du dénombrement
•
Savoir manipuler les séries numériques : reconnaissance de séries convergentes à l’aide des critères usuels de convergence et calcul de sommes.
•
Identifier les situations de modélisation probabiliste et être capable de définir l’espace probabilisé (fini ou dénombrable) correspondant
•
Manier le langage des probabilités (événements, probabilités) et connaître ses propriétés (intersection, réunion)
•
Manier le langage des variables aléatoires (loi, espérance, variance)
•
Savoir calculer les lois, espérances et variances de variables aléatoire discrètes
•
Identifier les situations de dépendance en modélisation
•
Effectuer des calculs de probabilités conditionnelles.";"A l’issue de cette unité, les étudiant(e)s maîtriseront les techniques d’analyse combinatoire ainsi que les techniques du calcul des probabilités dans le contexte des univers au plus dénombrables.
•
Analyse combinatoire : dénombrements élémentaires, combinaisons, triangle de Pascal, formule du binôme de Newton, permutations, arrangements, formule du crible, tirages avec ou sans remise, résultats ordonnés ou pas.
•
Vocabulaire des Probabilités (univers, probabilité, variable aléatoire, loi).
•
Probabilités sur un univers fini.
- Définition, probabilités conditionnelles, indépendance
- Variable aléatoire discrète, loi, fonction de répartition, espérance et variance
- Couple de variables aléatoires discrètes (conditionnement, indépendance, corrélation).
- Lois uniforme, Bernoulli, binomiale et hypergéométrique.
•
Séries numériques.
- Exemples fondamentaux, notions de convergence et convergence absolue, calculs de sommes
- Critères de convergence pour les séries à termes positifs
- Séries entières.
•
Probabilités sur un univers dénombrable.
- Définition
- Variable aléatoire discrète
- Lois de Pascal (avec cas particuliers des lois géométrique et binomiale négative) et de Poisson.";40;;3;Licence
XLG3IU030;Programmation à Objets;"Comprendre les principes d’abstraction et d’encapsulation Savoir instancier une classe et utiliser ses instances
Comprendre les notions d’interface et d’implémentation d’une classe
Être capable de mettre des classes en relation pour construire des objets complexes Connaître les mécanismes d’héritage et de polymorphisme
Savoir gérer les erreurs au moyen d’exceptions
Être capable de concevoir une petite application à partir d’un cahier des charges Être en mesure d’écrire du code lisible et réutilisable
Connaître un langage de programmation à objets";"Classe, objet, méthode, encapsulation Composition
Héritage et polymorphisme Classes abstraites
Gestion des erreurs et exceptions Généricité et collections";40;;3;Licence
XLG3TU010;Methodologie et insertion professionnelle S3;;;4;;3;Licence
XLG3TU020;Enjeux de la transition écologique;"A l’issue de l’UE, l’étudiant sera capable de tenir une discussion argumentée sur les enjeux de la Transition Ecologique.
Plus précisément, partie par partie :
Partie 1 - L'Anthropocène
• Décrire l’histoire du climat terrestre et les changements globaux qu’ont causés nos sociétés.
• Analyser les mécanismes économiques, juridiques et de consommation énergétique. Partie 2 - L’Érosion de la biodiversité
• Distinguer toutes les facettes de la biodiversité, les services qu’elle rend et les menaces que nous faisons peser sur elle.
• Identifier les méthodes d’analyse de l’érosion et son interaction avec le climat. Partie 3 - Le Changement climatique
• Identifier les raisons pour lesquelles la Terre se réchauffe et comment le climat est modélisé.
• Identifier certains scénarios pour l’avenir et les impacts qu’ils auront sur nos conditions de vie.
• Décrire le fonctionnement du GIEC.
Partie 4 - Répondre aux changements globaux
• Identifier les pistes d’action pour induire les changements ;
• Identifier la complexité des transformations de société et de gouvernance que suppose l’adaptation aux changements globaux.
• Reconnaître la notion d’une « transition écologique juste » qui soit l’occasion de réduire les inégalités.";"Les objectifs de l’UE, en accord avec les missions confiées au service public de l’Enseignement Supérieur pour ""contribuer à la sensibilisation et à la formation aux enjeux de la transition écologique"" (Plan Climat Biodiversité Transition Ecologique du MESR, novembre 2022) et en accord avec la vision de la nouvelle offre de formation de Nantes Université, seront pour l’étudiant de :
• s'approprier les enjeux de la transition écologique en intégrant les problématiques de changement climatique et d'érosion de la biodiversité ;
• identifier les leviers d'action de la transition écologique en tenant compte de sa complexité au travers d'une diversité de disciplines (droit, géologie, sciences de la terre, sciences de la vie...) Pour développer de réelles compétences interdisciplinaires sur les enjeux de la transition écologique, l’enseignement se déclinera autour de ressources en ligne et d’activités en présentiel. Programme des séances en présentiel :
• TD introductif (1h20) : explicitation de l’organisation de l’UE + test d'autopositionnement
• TD de fin de module (3*1h20) : programme de spécialisation, spécifique à la discipline de chaque parcours.
Programme des 9 séances en ligne (d’environ 1h30 de travail chacune) :
Partie I : Causes anthropiques des changements globaux
• SEANCE 1 : La Terre, fragile berceau de l'humanité
• SEANCE 2 : Organisation des sociétés humaines face au défi environnemental
• SEANCE 3 : Consommation, production et pollutions Partie II : Erosion de la biodiversité
• SEANCE 4 : La biodiversité : une histoire de relations mais aussi des menaces
• SEANCE 5 : La biodiversité : son évolution face aux pressions Partie III : Le changement climatique
• SEANCE 6 : Le système climatique et les moyens pour comprendre ses évolutions
• SEANCE 7 : Le changement climatique et ses impacts Partie IV : Comment répondre aux changements globaux ?
• SEANCE 8 : S’adapter au réchauffement climatique
• SEANCE 9 : Agir contre le réchauffement climatique et l’érosion de la biodiversité";18;;3;Licence
XLG3AU010;2nd year English S3;;;16;;3;Licence
XLG3TU030;Stage libre;;;0;;3;Licence
XLG4MU050;Optimisation 1 et Calcul integral;"Au terme de cette unité d'enseignement, l'étudiant(e) devra :
en matière d’optimisation
•
Savoir donner la formulation lagrangienne d’un problème d’optimisation et trouver les candidats extrema de ce problème.
•
Savoir justifier qu’une fonction à plusieurs variables est convexe ou concave et résoudre un problème d’optimisation convexe.
en matière de calcul intégral
•
Calculer des intégrales de fonctions numériques standard (en utilisant les outils classiques du calcul intégral)
•
Majorer, minorer des intégrales de fonctions positives
•
Étudier la convergence d’intégrales généralisées
•
Étudier la continuité et la dérivabilité des intégrales dépendant d'un paramètre.
•
Savoir calculer des intégrales doubles de fonctions à deux variables définies sur des domaines simples.";"• Optimisation.
•
Problèmes d’optimisation en 2 ou 3 variables   (présentation, conditions nécessaires du premier ordre, conditions suffisantes du second ordre, méthode du lagrangien).
•
Notion de convexité et concavité pour les fonctions à plusieurs variables et problèmes d’extrema.
•
Calcul intégral.
•
Intégrale de Riemann : définition, propriétés, calculs exact et approché.
•
Intégrale généralisée : définition, théorèmes de convergence pour les fonctions positives, convergence absolue.
•
Intégrales dépendant d'un paramètre, continuité et dérivabilité.
•
Notion d’intégrale double.";60;1;4;Licence
